Year,Month,Day,Hour,Temp,Dewtemp,Pressure,WindDir,WindSpeed,Sky,Precip1,Precip6,ID
2010,1,14,2,18,10,10077,170,60,-9999,-9999,-9999,010010-99999
2010,1,14,3,19,12,10076,160,70,-9999,-9999,-9999,010010-99999
2010,1,14,4,18,10,10075,150,60,-9999,-9999,-9999,010010-99999
2010,1,14,5,18,10,10075,170,50,-9999,-9999,-9999,010010-99999
2010,1,14,6,19,10,10072,150,60,8,-9999,-9999,010010-99999
2010,1,14,7,20,12,10072,150,70,-9999,-9999,-9999,010010-99999
2010,1,14,8,20,11,10073,140,60,-9999,-9999,-9999,010010-99999
2010,1,14,9,22,14,10074,150,70,8,-9999,-9999,010010-99999
2010,1,14,10,22,14,10078,150,60,-9999,-9999,-9999,010010-99999
2010,1,14,11,23,15,10078,150,70,-9999,-9999,-9999,010010-99999
2010,1,14,12,22,14,10078,150,70,8,-9999,0,010010-99999
2010,1,14,13,23,15,10078,160,70,-9999,-9999,-9999,010010-99999
2010,1,14,14,24,15,10077,160,80,-9999,-9999,-9999,010010-99999
2010,1,14,15,23,13,10077,160,70,7,-9999,-9999,010010-99999
2010,1,14,16,23,11,10078,170,70,-9999,-9999,-9999,010010-99999
2010,1,14,17,20,4,10082,160,60,-9999,-9999,-9999,010010-99999
2010,1,14,18,19,3,10081,140,80,5,-9999,-9999,010010-99999
2010,1,14,19,18,5,10082,130,70,-9999,-9999,-9999,010010-99999
2010,1,14,20,20,7,10079,140,80,-9999,-9999,-9999,010010-99999
2010,1,14,21,19,9,10080,140,70,-9999,-9999,-9999,010010-99999
2010,1,14,22,19,5,10078,140,70,-9999,-9999,-9999,010010-99999
2010,1,14,23,21,8,10075,140,80,-9999,-9999,-9999,010010-99999
2010,1,15,0,22,9,10073,130,70,8,-9999,0,010010-99999
2010,1,15,1,22,10,10070,140,60,-9999,-9999,-9999,010010-99999
2010,1,15,2,23,12,10063,140,80,-9999,-9999,-9999,010010-99999
2010,1,15,3,21,10,10059,140,60,-9999,-9999,-9999,010010-99999
2010,1,15,4,22,12,10055,140,60,-9999,-9999,-9999,010010-99999
2010,1,15,5,20,10,10051,160,30,-9999,-9999,-9999,010010-99999
2010,1,15,6,21,11,10046,150,60,8,-9999,-9999,010010-99999
2010,1,15,7,21,10,10043,160,60,-9999,-9999,-9999,010010-99999
2010,1,15,8,21,12,10038,130,60,-9999,-9999,-9999,010010-99999
2010,1,15,9,21,11,10034,150,60,8,-9999,-9999,010010-99999
2010,1,15,10,20,11,10029,150,50,-9999,-9999,-9999,010010-99999
2010,1,15,11,19,10,10024,150,50,-9999,-9999,-9999,010010-99999
2010,1,15,12,20,11,10014,140,50,8,-9999,10,010010-99999
2010,1,15,13,19,11,10004,140,50,-9999,-9999,-9999,010010-99999
2010,1,15,14,21,13,9997,150,60,-9999,-9999,-9999,010010-99999
2010,1,15,15,20,12,9990,150,50,8,-9999,-9999,010010-99999
2010,1,15,16,23,15,9984,160,70,-9999,-9999,-9999,010010-99999
2010,1,15,17,24,15,9978,160,90,-9999,-9999,-9999,010010-99999
2010,1,15,18,20,12,9972,140,50,8,-9999,-9999,010010-99999
2010,1,15,19,21,13,9972,180,80,-9999,-9999,-9999,010010-99999
2010,1,15,20,19,11,9968,190,40,-9999,-9999,-9999,010010-99999
2010,1,15,21,19,12,9970,200,40,-9999,-9999,-9999,010010-99999
2010,1,15,22,23,15,9969,190,60,-9999,-9999,-9999,010010-99999
2010,1,15,23,23,15,9965,190,50,-9999,-9999,-9999,010010-99999
2010,1,16,0,23,15,9961,200,30,8,-9999,20,010010-99999
2010,1,16,1,21,13,9957,170,10,-9999,-9999,-9999,010010-99999
2010,1,16,2,19,11,9949,190,10,-9999,-9999,-9999,010010-99999
2010,1,16,3,20,12,9943,100,40,-9999,-9999,-9999,010010-99999
2010,1,16,4,20,13,9937,100,40,-9999,-9999,-9999,010010-99999
2010,1,16,5,20,13,9935,100,50,-9999,-9999,-9999,010010-99999
2010,1,16,6,24,17,9938,180,30,8,-9999,-9999,010010-99999
2010,1,16,7,24,18,9942,200,50,-9999,-9999,-9999,010010-99999
2010,1,16,8,20,14,9944,180,30,-9999,-9999,-9999,010010-99999
2010,1,16,9,20,14,9946,230,10,-9999,-9999,-9999,010010-99999
2010,1,16,10,23,17,9950,120,60,-9999,-9999,-9999,010010-99999
2010,1,16,11,23,17,9952,200,30,-9999,-9999,-9999,010010-99999
2010,1,16,12,23,17,-9999,-9999,-9999,-9999,-9999,-9999,010010-99999
2010,1,16,13,23,18,9942,80,10,-9999,-9999,-9999,010010-99999
2010,1,16,14,20,14,9936,110,30,-9999,-9999,-9999,010010-99999
2010,1,16,15,22,17,-9999,-9999,-9999,-9999,-9999,-9999,010010-99999
2010,1,16,16,28,22,9911,80,60,-9999,-9999,-9999,010010-99999
2010,1,16,17,29,22,9899,80,80,-9999,-9999,-9999,010010-99999
2010,1,16,18,24,17,-9999,-9999,-9999,-9999,-9999,-9999,010010-99999
2010,1,16,19,28,21,9868,80,90,-9999,-9999,-9999,010010-99999
2010,1,16,20,27,20,9858,120,70,-9999,-9999,-9999,010010-99999
2010,1,16,21,26,20,9850,130,60,-9999,-9999,-9999,010010-99999
2010,1,16,22,27,21,9848,140,80,-9999,-9999,-9999,010010-99999
2010,1,16,23,27,21,9848,160,70,-9999,-9999,-9999,010010-99999
2010,1,17,0,27,21,-9999,-9999,-9999,-9999,-9999,-9999,010010-99999
2010,1,17,1,28,22,9847,160,80,-9999,-9999,-9999,010010-99999
2010,1,17,2,27,21,9854,180,90,-9999,-9999,-9999,010010-99999
2010,1,17,3,27,20,9861,190,100,-9999,-9999,-9999,010010-99999
2010,1,17,4,27,20,9867,170,100,-9999,-9999,-9999,010010-99999
2010,1,17,5,28,20,9871,170,100,-9999,-9999,-9999,010010-99999
2010,1,17,6,25,17,-9999,-9999,-9999,-9999,-9999,-9999,010010-99999
2010,1,17,7,24,17,9881,190,70,-9999,-9999,-9999,010010-99999
2010,1,17,8,22,15,9885,200,60,-9999,-9999,-9999,010010-99999
2010,1,17,9,20,13,-9999,-9999,-9999,-9999,-9999,-9999,010010-99999
2010,1,17,10,21,15,9896,190,40,-9999,-9999,-9999,010010-99999
2010,1,17,11,21,15,9895,180,30,-9999,-9999,-9999,010010-99999
2010,1,17,12,18,12,-9999,-9999,-9999,-9999,-9999,-9999,010010-99999
2010,1,17,13,20,14,9887,120,40,-9999,-9999,-9999,010010-99999
2010,1,17,14,19,13,9881,120,40,-9999,-9999,-9999,010010-99999
2010,1,17,15,19,14,-9999,-9999,-9999,-9999,-9999,-9999,010010-99999
2010,1,17,16,19,14,9871,110,30,-9999,-9999,-9999,010010-99999
2010,1,17,17,18,13,9864,110,30,-9999,-9999,-9999,010010-99999
2010,1,17,18,19,13,-9999,-9999,-9999,-9999,-9999,-9999,010010-99999
2010,1,17,19,25,19,9841,70,50,-9999,-9999,-9999,010010-99999
2010,1,17,20,30,23,9825,70,70,-9999,-9999,-9999,010010-99999
2010,1,17,21,28,20,9807,60,50,-9999,-9999,-9999,010010-99999
2010,1,17,22,29,20,9793,70,50,-9999,-9999,-9999,010010-99999
2010,1,17,23,25,16,9781,30,40,-9999,-9999,-9999,010010-99999
2010,1,18,0,28,19,9775,10,20,8,-9999,10,010010-99999
2010,1,18,1,37,20,9777,260,70,-9999,-9999,-9999,010010-99999
2010,1,18,2,17,9,9796,270,90,-9999,-9999,-9999,010010-99999
2010,1,18,3,17,9,9816,260,100,-9999,-9999,-9999,010010-99999
2010,1,18,4,16,8,9834,260,90,-9999,-9999,-9999,010010-99999
2010,1,18,5,20,6,9849,250,60,-9999,-9999,-9999,010010-99999
2010,1,18,6,24,6,9868,250,70,5,-9999,-9999,010010-99999
2010,1,18,7,12,-5,9883,210,80,-9999,-9999,-9999,010010-99999
2010,1,18,8,7,-12,9894,210,90,-9999,-9999,-9999,010010-99999
2010,1,18,9,7,-10,9902,230,80,4,-9999,-9999,010010-99999
2010,1,18,10,4,-7,9912,200,80,-9999,-9999,-9999,010010-99999
2010,1,18,11,3,-6,9916,200,70,-9999,-9999,-9999,010010-99999
2010,1,18,12,5,-3,9923,200,50,8,-9999,-1,010010-99999
2010,1,18,13,4,-13,9932,270,90,-9999,-9999,-9999,010010-99999
2010,1,18,14,-1,-19,9942,250,80,-9999,-9999,-9999,010010-99999
2010,1,18,15,-9,-31,9953,270,90,4,-9999,-9999,010010-99999
2010,1,18,16,-12,-33,9964,260,50,-9999,-9999,-9999,010010-99999
2010,1,18,17,-14,-30,9970,220,30,-9999,-9999,-9999,010010-99999
